subject,label
"[Spambayes-checkins] spambayes/contrib tte.py,1.17,1.18",0
Jenna Jameson wants you as BFF,1
[UAI] CfP: DATE05: Subtrack Real-time Systems,0
[SM-DEVEL] SubFolders untranslated,0
[Bug 5816] AWL AutoWhiteList,0
Re: Getopt::Long and Log::StdLog problem,0
SoftTabsFDAapprovedNewProducts,1
CNN.com Daily Top 10,1
"[Spambayes-checkins] spambayes/spambayes mboxutils.py, 1.10,	1.11 storage.py, 1.62, 1.63",0
Prizes and Awards: It's That Time of Year,0
Site-Wide Savings!,0
[Bug 5816] AWL AutoWhiteList,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Podcast update: Threats and trends for 2008,0
Answers to your love relationship,1
Man fined for having long penn,1
[Bug 5814] uri PORN_4 regex false positive on http://www.google-analytics.com,0
Wanted Growth Enhancement testimonials,1
Love doctors recommend flirting as cure,1
Buy  your medications at the best possible prices.,1
Customer Appreciation Savings ,0
What They Don't Want You to Know What it Does to Your Body !,1
Wanted Growth Enhancement testimonials,1
machine impedance society society monash,1
Drink from the fountain of youth,1
Tell your  friend how to quit smoking.,1
How To Enlarge Penis Size,1
Get a magic wand to satisfy your lady,1
CNN.com Daily Top 10,1
Drink from the fountain of youth,1
CNN.com Daily Top 10,1
Thanks for  reading this information!,1
Befriend Jenna Jameson,1
Analysts to Microsoft: Save XP!,0
Let other people  know about your successful quitting.,1
Penis Enlargment Reviews,1
Big Dicks Movies,1
Extend your possibilities in your private life,1
[SM-USERS]  Autorespond plugin,0
High Quality Rolex Replica Watches,1
Offer variety replica watches,1
From Rickey Case,1
Womens wish list for men,1
Forwarding all localmail ,0
Your order is executed,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Good jeramey proposition,1
How to make money like a porn star,1
CNN.com Daily Top 10,1
Huge dimension gives increased force,1
"[Spambayes-checkins] spambayes/scripts sb_imapfilter.py,1.66,1.67",0
Compressed happiness,1
fashionable replica watches,1
Beta testers have had Vista for two weeks,0
Trade Me -- Please place feedback,0
Re: Forwarding all localmail,0
Re: Forwarding all localmail,0
Google Alert - label unlabeled data,0
Achieve any length you need,1
[UAI] Three Faculty Positions in CS at University College London,0
[UAI] parameter estimation question,0
svn commit: r581572 - /spamassassin/rules/trunk/sandbox/jm/20_basic.cf,0
CNN.com Daily Top 10,1
Katerina age 29 -on dating ,1
Superior Narcotic Satisfactions,1
Interesting Herbal Deals,1
Befriend Jenna Jameson,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Re: [SM-USERS] Bug Report,0
rolex cartier omega LV CD chanel gucci ...  ,1
Love consultants recommend herbal products,1
[ spambayes-Patches-1707808 ] imap-tte,0
Bring more happiness into your holiday mood ,1
CNN.com Daily Top 10,1
"Windows Vista, round two",0
New White Paper: Why Virtual Servers Need Virtual Storage,0
100% Money Back Guarantee. ,1
Re: Forwarding all localmail,0
Re: score,0
Re: [SM-USERS] Bug Report,0
Re: score,0
"[Spambayes-checkins] spambayes/contrib tte.py,1.18,1.19",0
Re: score,0
Update of LC Science Tracer Bullet: Wind Power,0
Re: sa-learn --ham ground rules,0
Enlarge,1
Super abraham offer,1
"[Spambayes-checkins] spambayes/spambayes hammie.py,1.16,1.17",0
Re: Forwarding all localmail ,0
Prodigious preparation is to your service,1
A Digital Card from someone who cares.,1
CNN.com Daily Top 10,1
Offer variety replica watches,1
Re: [patch] 00_CPANPLUS-Internals-Utils.t version match fix,0
[Dixielandjazz] Fw: about your music..,0
CNN.com Daily Top 10,1
Fulfill  all your pharmaceutical needs with Canadian Pharmacy.,1
CNN.com Daily Top 10,1
Love doctors recommend flirting as cure,1
RE: Logical Names on VMS (was: [patch@31780] fixes for cpanplus on VMS),0
our sexual life maybe incredible and exciting,1
Choice IWC replica watches at Replica Classics   ,1
CNN.com Daily Top 10,1
Quiz: What the heck are these people talking about?,0
perl5.005_05-MAINT20070902,0
Man fined for having long penn,1
Massage techniques to help your man pole,1
For:cbf21ce47b9b84801ce8799e6e7b363c Britney and Paris having fun together. Watch.,1
Katerina age 29 -on dating ,1
Re: [patch@31780] CPANPLUS/Internals/Constants.pm for VMS,0
Re: [spambayes-dev] Standalone SpamBayes classifier for websites,0
"ietf-dkim Digest, Vol 106, Issue 5",0
Re: A question on rulesrc/sandbox/,0
[Bug 4104] Several useful URI rules,0
[UAI] KI2004: 2nd Call For Participation,0
"Carrot2-developers Digest, Vol 21, Issue 3",0
Wanted Growth Enhancement testimonials,1
"[Spambayes-checkins] spambayes/spambayes CoreUI.py, NONE,	1.1.2.1 Options.py, 1.141, 1.141.2.1",0
For:8b041062bcf7766253bcd0284e2df718 Paris and Britney nude.,1
Drink from the fountain of youth,1
Re: Mail attachements truncated,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Perfected Substance Offers,1
[Bug 5790] update INSTALL docs to note DNSBL usage bug in Solaris 8,0
Greetings from...?,1
McCain,0
CNN.com Daily Top 10,1
Wanted Growth Enhancement testimonials,1
Replica Classics trendy replica watches for you   ,1
"[Spambayes-checkins] spambayes/scripts core_server.py, NONE, 1.1.2.1",0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
"[Spambayes-checkins] spambayes setup.py,1.32,1.32.2.1",0
Wanted Growth Enhancement testimonials,1
CNN.com Daily Top 10,1
candace waterway lignum network complainant,1
Re: A few multiple dispatch questions,0
[UAI] cfp: FLAIRS-2005,0
Penis Enlargement Is Possible ! Learn How and What Products Work,1
The art of timekeeping,1
CNN.com Daily Top 10,1
High Quality Rolex Replica Watches,1
TREC 2007 Spam Track,0
Ensuring Code Quality in Multi-threaded Applications,0
[Bug 5813] [review] several TLDs are not parsed by URI text scanner in PerMsgStatus.pm,0
"Off the Shelf - February 8, 2008",0
Re: TREC 2007 Spam Track,0
Re: Mail attachements truncated,0
[Bug 5667] add new URIBL lookup on rhsbl.ahbl.org,0
"[Perl Jobs] Software Engineer (onsite), United States, CA, San Mateo",0
Male Enhancement,1
"[Spambayes-checkins] spambayes/spambayes CoreUI.py, 1.1.2.1, 1.1.2.2",0
123,1
Jaeger-LeCoultre replica watch Luxury isnt a sin ,1
SuIT COULD BE YOU..,1
svn commit: r581580 - /spamassassin/rules/trunk/sandbox/jm/20_bug4104_uribl.cf,0
Re: Mail attachements truncated,0
Ravishing Bvlgari watches at Replica Classics   ,1
Looking for a watch? Visit Replica Classics ,1
CNN.com Daily Top 10,1
Revolutionary mens health aid has arrived,1
server is rejecting mail from single domain,0
Karma sutra and massage foreplay techniques,1
CNN.com Daily Top 10,1
123,1
Drink from the fountain of youth,1
Katerina age 29 -on dating ,1
Re: permission denied while using pipe in master.cf,0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Payment confirmation #1047993667197627481,1
Karma sutra and massage foreplay techniques,1
Re: server is rejecting mail from single domain,0
Love doctors recommend flirting as cure,1
Your order,1
CNN.com Daily Top 10,1
Re: Forwarding all localmail,0
"<FRIDAY>  Networked Storage, SOX Compliance and Demand Management",0
Re: server is rejecting mail from single domain,0
[ spambayes-Bugs-1722848 ] sb_imapfilter.py failure,0
"[Spambayes-checkins] spambayes/spambayes storage.py,1.63,1.63.2.1",0
RE: server is rejecting mail from single domain,0
NBC11.com's Noon News Update,0
"Library of Congress Classification Weekly List 31, 2008",0
Library of Congress Junior Fellows Unearth Treasures,0
Re: SASL questions,0
Full presentation Shakira,1
Wanted Growth Enhancement testimonials,1
"100% Safe To Take, With NO Side Effects.",1
Relax. Take a Deep Breath We have the answers you seek.,1
Re: server is rejecting mail from single domain,0
Ravishing Bvlgari watches at Replica Classics   ,1
CNN.com Daily Top 10,1
Re: sa-learn weirdness...,0
Drink from the fountain of youth,1
svn commit: r581581 - /spamassassin/rules/trunk/sandbox/jm/22_bug_5667.cf,0
Love consultants recommend herbal products,1
Befriend Jenna Jameson,1
Top Quality Size,1
CNN.com Daily Top 10,1
InternationalPharmacyForCustomersCustomerSupport,1
CNN.com Daily Top 10,1
[Bug 5813] [review] several TLDs are not parsed by URI text scanner in PerMsgStatus.pm,0
Revolutionary mens health aid has arrived,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Re: server is rejecting mail from single domain,0
Perfected Pill Facilitation,1
[Bug 5780] [review] URI processing turns uuencoded strings into http URI's which then causes FPs,0
re: КАЧЕСТВЕННЫЕ ПЛАСТИКОВЫЕ ОКНА,1
Befriend Jenna Jameson,1
svn commit: r581582 - /spamassassin/trunk/rules/50_scores.cf,0
FW: So what is a 'Camel Toe' ?,0
Re: [SM-USERS] squirrelmail v1.4.13 and Login Redirect Plugin v2.1,0
Re: [SM-USERS] Autorespond plugin,0
"[Spambayes-checkins] spambayes/spambayes storage.py, 1.63.2.1,	1.63.2.2",0
Re: server is rejecting mail from single domain,0
[Spambayes-checkins] spambayes/spambayes/core_resources - New	directory,0
Perfected RX Discounts,1
CNN.com Daily Top 10,1
"[Spambayes-checkins] spambayes/spambayes CoreUI.py, 1.1.2.2, 1.1.2.3",0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
"[Spambayes-checkins] spambayes setup.py,1.32.2.1,1.32.2.2",0
Stars foretell the best life likl rf omvu,1
Engaging Medical Offers,1
Re: [SM-USERS] SM 1.4.13 Configuration Question: Mail Domain	Parameter,0
CNN.com Daily Top 10,1
Karma sutra and massage foreplay techniques,1
Superior Medical Reductions,1
CNN.com Daily Top 10,1
"Article contribution letter for ""The Open Artificial Intelligence	Journal""",0
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Answers to erectile dysfunction,1
CNN.com Daily Top 10,1
CNN.com Daily Top 10,1
Re: server is rejecting mail from single domain,0
Keep the young girls away from that bulch,1
No Exam or Classes Require,1
Re: mass-check --server bug? ,0
"[Spambayes-checkins] spambayes/scripts core_server.py, 1.1.2.1,	1.1.2.2",0
"[Spambayes-checkins] spambayes/spambayes CoreUI.py, 1.1.2.3,	1.1.2.4 Options.py, 1.141.2.1, 1.141.2.2",0
Re: [SM-USERS] errors,0
Re: Mail attachements truncated,0
Re: [SM-USERS] errors,0
Re: perl5.005_05-MAINT20070902,0
Re: server is rejecting mail from single domain,0
